date,scan_time,ticker,verdict,priority,score,entry_price,stop,target1,target2,gap_pct,rel_vol,catalyst,float_m,short_float,above_vwap,spread_pct,outcome_time,outcome_price,outcome_pct,hit_target1,hit_target2,hit_stop,result,would_profit
2026-03-02,08:35,TZA,WATCH,B,31,6.46,6.41,6.52,6.59,9.21,0.6,news,150.0,0,True,0.155,09:05,6.48,0.31,False,False,False,POSITIVE,0.02
2026-03-02,08:35,TSDD,WATCH,B,30,9.62,9.55,9.72,9.81,7.79,0.87,news,150.0,0,True,0.312,09:05,9.6,-0.21,False,False,False,NEGATIVE,-0.02
2026-03-02,08:35,ARRY,WATCH,B,30,7.58,7.52,7.66,7.73,4.19,0.54,news,139.3,17.7,True,,09:05,7.58,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:35,BWIN,WATCH,B,30,23.23,23.06,23.46,23.69,25.84,0.47,news,95.4,7.6,True,0.129,09:05,23.25,0.09,False,False,False,POSITIVE,0.02
2026-03-02,08:35,UVIX,WATCH,B,29,6.86,6.81,6.93,7.0,17.87,0.3,news,150.0,0,True,0.292,09:05,7.0,2.04,True,True,False,TARGET2,0.1
2026-03-02,08:35,AAL,WATCH,B,20,15.42,15.3,15.57,15.73,10.62,0.32,news,650.2,6.9,True,40.726,09:05,12.27,-20.43,False,False,True,STOPPED,-0.12
2026-03-02,08:35,XLE,WATCH,B,20,58.17,57.73,58.75,59.33,5.67,0.31,news,186.4,0,True,,09:05,58.07,-0.17,False,False,False,NEGATIVE,-0.1
2026-03-02,08:35,SQQQ,WATCH,B,19,73.43,72.88,74.16,74.9,4.78,0.17,news,150.0,0,True,0.054,09:05,74.04,0.83,False,False,False,POSITIVE,0.61
2026-03-02,08:35,SLV,WATCH,B,17,85.44,84.8,86.29,87.15,6.19,0.23,news,341.4,0,True,0.082,09:05,84.59,-0.99,False,False,True,STOPPED,-0.64
2026-03-02,08:40,FIGS,GO,A,54,15.46,15.34,15.61,15.77,23.98,1.53,news,152.3,11.0,True,,09:10,15.46,0.0,False,False,False,NEGATIVE,0.0
2026-03-02,08:40,ARLO,GO,A,48,15.69,15.57,15.85,16.0,27.15,1.08,news,103.9,12.2,False,0.255,09:10,15.695,0.03,False,False,False,POSITIVE,0.01
